A-0.6	Accessible Canada Act
SOR-2018-120	(LongTitle) Industrial Design Regulations
SOR-2018-12187	(LongTitle) Fuel Charge Regulations
SOR-2018-133	(LongTitle) Regulations Excluding Certain Vaping Products Regulated Under the Food and Drugs Act from the Application of the Tobacco and Vaping Products Act
SOR-2018-142	(LongTitle) Pipeline Financial Requirements Regulations
SOR-2018-143	(LongTitle) Portions of the Public Service General Divestiture Regulations
SOR-2018-144	(LongTitle) Cannabis Regulations
SOR-2018-145	(LongTitle) Industrial Hemp Regulations
SOR-2018-146	(LongTitle) Qualifications for Designation as Analyst Regulations (Cannabis)
SOR-2018-148	(LongTitle) Blood Drug Concentration Regulations
SOR-2018-14	(LongTitle) Quebec Sheep Marketing Levies (Interprovincial and Export Trade) Order
SOR-2018-151	(LongTitle) Cannabis Act (Police Enforcement) Regulations
SOR-2018-152	(LongTitle) United States Surtax Order (Steel and Aluminum)
SOR-2018-153	(LongTitle) United States Surtax Order (Other Goods)
SOR-2018-156	(LongTitle) Critical Habitat of the Lake Chubsucker (Erimyzon sucetta) Order
SOR-2018-157	(LongTitle) Critical Habitat of the Northern Bottlenose Whale (Hyperoodon ampullatus) Scotian Shelf Population Order
SOR-2018-158	(LongTitle) Critical Habitat of the Spring Cisco (Coregonus sp.) Order
SOR-2018-159	(LongTitle) Critical Habitat of the Eastern Sand Darter (Ammocrypta pellucida) Quebec Populations Order
SOR-2018-166	(LongTitle) Regulations for the Monitoring of Medical Assistance in Dying
SOR-2018-167	(LongTitle) Proclamation Declaring that the Government Corporations Operation Act is Applicable to Project Deliver I Ltd.
SOR-2018-168	(LongTitle) Proclamation Declaring that the Government Corporations Operation Act is Applicable to Project Deliver II Ltd.
SOR-2018-169	(LongTitle) Critical Habitat of the Western Chorus Frog (Pseudacris triseriata) Great Lakes / St. Lawrence – Canadian Shield Population Order
SOR-2018-176	(LongTitle) Order Respecting the Calculation of the Moisture Shrinkage for Grain
SOR-2018-178	(LongTitle) Cannabis Tracking System Order
SOR-2018-179	(LongTitle) Approved Drug Screening Equipment Order
SOR-2018-182	(LongTitle) Critical Habitat of Atlantic Whitefish (Coregonus huntsmani) Order
SOR-2018-183	(LongTitle) Critical Habitat of Carmine Shiner (Notropis percobromus) Order
SOR-2018-186	(LongTitle) Playpens Regulations
SOR-2018-194	(LongTitle) Order Declaring that the Wastewater Systems Effluent Regulations Do Not Apply in Quebec
SOR-2018-196	(LongTitle) Prohibition of Asbestos and Products Containing Asbestos Regulations
SOR-2018-198	(LongTitle) Cannabis Fees Order
SOR-2018-203	(LongTitle) Regulations Implementing the United Nations Resolutions on Mali
SOR-2018-205	(LongTitle) United States Surtax Remission Order
SOR-2018-206	(LongTitle) Order Imposing a Surtax on the Importation of Certain Steel Goods
SOR-2018-208	(LongTitle) Critical Habitat of the Misty Lake Lentic Threespine Stickleback (Gasterosteus aculeatus) Order
SOR-2018-209	(LongTitle) Critical Habitat of the Misty Lake Lotic Threespine Stickleback (Gasterosteus aculeatus) Order
SOR-2018-213	(LongTitle) Notice Establishing Criteria Respecting Facilities and Persons and Publishing Measures
SOR-2018-214	(LongTitle) Greenhouse Gas Emissions Information Production Order
SOR-2018-217	(LongTitle) Military Airworthiness Investigation Regulations
SOR-2018-218	(LongTitle) Critical Habitat of the Speckled Dace (Rhinichthys osculus) Order
SOR-2018-221	(LongTitle) CPTPP Rules of Origin Regulations
SOR-2018-222	(LongTitle) CPTPP Rules of Origin for Casual Goods Regulations
SOR-2018-223	(LongTitle) CPTPP Tariff Preference Regulations
SOR-2018-227	(LongTitle) Trademarks Regulations
SOR-2018-245	(LongTitle) Regulations Respecting Compulsory Insurance for Ships Carrying Passengers
SOR-2018-257	(LongTitle) Order Designating Newfoundland and Labrador for the Purposes of Section 347.1 of the Criminal Code
SOR-2018-261	(LongTitle) Regulations Limiting Carbon Dioxide Emissions from Natural Gas-fired Generation of Electricity
SOR-2018-268	(LongTitle) Critical Habitat of the Harbour Seal Lacs des Loups Marins subspecies (Phoca vitulina mellonae) Order
SOR-2018-278	(LongTitle) Critical Habitat of the Killer Whale (Orcinus orca) Northeast Pacific Southern Resident Population Order
SOR-2018-279	(LongTitle) Critical Habitat of the Killer Whale (Orcinus orca) Northeast Pacific Northern Resident Population Order
SOR-2018-27	(LongTitle) Quebec Hog Marketing Levies (Interprovincial and Export Trade) Order
SOR-2018-288	(LongTitle) In-Transit Steel Goods Remission Order
SOR-2018-35	(LongTitle) Privileges and Immunities of the Asian Infrastructure Investment Bank Order
SOR-2018-36	(LongTitle) United Nations University International Network on Water, Environment and Health – Privileges and Immunities Order
SOR-2018-46	(LongTitle) Order Declaring an Amnesty Period (2018)
SOR-2018-47	(LongTitle) Canada’s 2018 G7 Presidency Privileges and Immunities Order
SOR-2018-57	(LongTitle) Bank Recapitalization (Bail-in) Conversion Regulations
SOR-2018-58	(LongTitle) Bank Recapitalization (Bail-in) Issuance Regulations
SOR-2018-59	(LongTitle) Compensation Regulations
SOR-2018-64	(LongTitle) Breach of Security Safeguards Regulations
SOR-2018-66	(LongTitle) Regulations Respecting Reduction in the Release of Methane and Certain Volatile Organic Compounds (Upstream Oil and Gas Sector)
SOR-2018-75	(LongTitle) Nova Scotia Hog Marketing Levies (Interprovincial and Export Trade) Order
SOR-2018-82	(LongTitle) Children’s Jewellery Regulations
SOR-2018-83	(LongTitle) Consumer Products Containing Lead Regulations
SOR-2019-105	(LongTitle) Laurentian Channel Marine Protected Area Regulations
SOR-2019-107	(LongTitle) Tobacco Products Appearance, Packaging and Labelling Regulations
SOR-2019-109	(LongTitle) Low-materiality Fees Regulations
SOR-2019-110	(LongTitle) Direction Respecting Tarmac Delays of Three Hours or Less
SOR-2019-113	(LongTitle) Transportation of Dangerous Goods by Rail Security Regulations
SOR-2019-123	(LongTitle) Critical Habitat of the Western Brook Lamprey (Lampetra richardsoni) Morrison Creek Population Order
SOR-2019-124	(LongTitle) Fees in Respect of Drugs and Medical Devices Order
SOR-2019-129	(LongTitle) Surtax on the Importation of Certain Steel Goods Refund Order
SOR-2019-131	(LongTitle) Black Lake First Nation Water Power Regulations
SOR-2019-138	(LongTitle) Canada Deposit Insurance Corporation Resolution Planning By-law
SOR-2019-146	(LongTitle) Order Calling in Certain Notes
SOR-2019-150	(LongTitle) Air Passenger Protection Regulations
SOR-2019-151	(LongTitle) Women Deliver 2019 Global Conference — Privileges and Immunities Order
SOR-2019-152	(LongTitle) Challenges Annual Forum — Privileges and Immunities Order
SOR-2019-153	(LongTitle) Ukraine Reform Conference 2019 — Privileges and Immunities Order
SOR-2019-167	(LongTitle) Order Declaring that the Reduction of Carbon Dioxide Emissions from Coal-fired Generation of Electricity Regulations Do Not Apply in Saskatchewan
SOR-2019-181	(LongTitle) European Space Agency Privileges and Immunities Order
SOR-2019-183	(LongTitle) Preclearance in Canada Regulations
SOR-2019-185	(LongTitle) Designated Provisions Regulations — Transportation Information (Canada Transportation Act)
SOR-2019-188	(LongTitle) Critical Habitat of the Woodland Caribou (Rangifer tarandus caribou) Boreal Population Order
SOR-2019-192	(LongTitle) Safety of Sperm and Ova Regulations
SOR-2019-193	(LongTitle) Reimbursement Related to Assisted Human Reproduction Regulations
SOR-2019-194	(LongTitle) Administration and Enforcement (Assisted Human Reproduction Act) Regulations
SOR-2019-196	(LongTitle) Indian Oil and Gas Regulations
SOR-2019-202	(LongTitle) Cannabis Tracking System Order
SOR-2019-21	(LongTitle) Critical Habitat of the Hotwater Physa (Physella wrighti) Order
SOR-2019-220	(LongTitle) Brokering Control List
SOR-2019-221	(LongTitle) Brokering Permit Regulations
SOR-2019-222	(LongTitle) Regulations Specifying Activities that Do Not Constitute Brokering
SOR-2019-227	(LongTitle) Order Issuing a Direction to the CRTC on Implementing the Canadian Telecommunications Policy Objectives to Promote Competition, Affordability, Consumer Interests and Innovation
SOR-2019-229	(LongTitle) General Brokering Permit No. 1
SOR-2019-230	(LongTitle) General Export Permit No. 47 — Export of Arms Trade Treaty Items to the United States
SOR-2019-232	(LongTitle) Special Economic Measures (Nicaragua) Regulations
SOR-2019-233	(LongTitle) Special Economic Measures (Nicaragua) Permit Authorization Order
SOR-2019-236	(LongTitle) ) Order
SOR-2019-241	(LongTitle) Exit Information Regulations
SOR-2019-244	(LongTitle) Accessible Transportation for Persons with Disabilities Regulations
SOR-2019-249	(LongTitle) International Financial Assistance Regulations
SOR-2019-251	(LongTitle) Patent Rules
SOR-2019-252	(LongTitle) Environmental Response Regulations
SOR-2019-257	(LongTitle) Payment Clearing and Settlement Regulations
SOR-2019-260	(LongTitle) Regulations Prescribing Physical Injuries
SOR-2019-261	(LongTitle) Large Diameter Line Pipe Anti-dumping Duty Remission Order
SOR-2019-266	(LongTitle) Output-Based Pricing System Regulations
SOR-2019-269	(LongTitle) Radiocommunication Act Exemption Order (Jammers — Royal Canadian Mounted Police)
SOR-2019-274	(LongTitle) Critical Habitat of the Salish Sucker (Catostomus catostomus ssp.) Order
SOR-2019-276	(LongTitle) CIFTA Rules of Origin Regulations
SOR-2019-278	(LongTitle) CIFTA Tariff Preference Regulations
SOR-2019-280	(LongTitle) Order Prohibiting Certain Activities in Arctic Offshore Waters
SOR-2019-282	(LongTitle) Order Designating the Tuvaijuittuq Marine Protected Area
SOR-2019-283	(LongTitle) Information and Management of Time Limits Regulations
SOR-2019-285	(LongTitle) Physical Activities Regulations
SOR-2019-286	(LongTitle) Authorizations Concerning Fish and Fish Habitat Protection Regulations
SOR-2019-288	(LongTitle) Exemption Order for Certain Licences, Authorizations and Documents (Bull Trout (Saskatchewan-Nelson Rivers Populations))
SOR-2019-289	(LongTitle) Exemption Order for Certain Licences, Authorizations and Documents (Rainbow Trout (Athabasca River Populations))
SOR-2019-293	(LongTitle) CPTPP Remission Order
SOR-2019-294	(LongTitle) Part 1 of the Greenhouse Gas Pollution Pricing Act Regulations (Alberta)
SOR-2019-297	(LongTitle) Fabricated Industrial Steel Components Anti-dumping and Countervailing Duty Remission Order
SOR-2019-2	(LongTitle) Critical Habitat of the Western Silvery Minnow (Hybognathus argyritis) Order
SOR-2019-300	(LongTitle) Transitional Regulations for the Purpose of the National Energy Board Cost Recovery Regulations
SOR-2019-307	(LongTitle) Order Amending the Sechelt Indian Band Constitution
SOR-2019-308	(LongTitle) ) Order
SOR-2019-309	(LongTitle) Critical Habitat of the Kidneyshell (Ptychobranchus fasciolaris) Order
SOR-2019-310	(LongTitle) Critical Habitat of the Rainbow Smelt (Osmerus mordax) Lake Utopia Small-Bodied Population Order
SOR-2019-312	(LongTitle) Canada Deposit Insurance Corporation Co-owned and Trust Deposit Disclosure By-law
SOR-2019-315	(LongTitle) Surtax on the Importation of Certain Steel Goods Remission Order
SOR-2019-319	(LongTitle) General Import Permit No. 83 — Aluminum Products
SOR-2019-320	(LongTitle) Major Works Order
SOR-2019-322	(LongTitle) ) Inner Bay of Fundy Population Order
SOR-2019-323	(LongTitle) Designated Classes of Projects Order
SOR-2019-326	(LongTitle) Critical Habitat of the Pugnose Shiner (Notropis anogenus) Order
SOR-2019-327	(LongTitle) Critical Habitat of the Northern Riffleshell (Epioblasma torulosa rangiana) Order
SOR-2019-328	(LongTitle) Critical Habitat of the Round Pigtoe (Pleurobema sintoxia) Order
SOR-2019-329	(LongTitle) Critical Habitat of the Snuffbox (Epioblasma triquetra) Order
SOR-2019-330	(LongTitle) Critical Habitat of the Rayed Bean (Villosa fabalis) Order
SOR-2019-331	(LongTitle) Critical Habitat of the Salamander Mussel (Simpsonaias ambigua) Order
SOR-2019-347	(LongTitle) International and Interprovincial Power Line Damage Prevention Regulations — Authorizations
SOR-2019-348	(LongTitle) Circumstances for Excluding Periods from Time Limits Regulations
SOR-2019-353	(LongTitle) Vaping Products Labelling and Packaging Regulations
SOR-2019-36	(LongTitle) Mexico Steel Goods Remission Order
SOR-2019-3	(LongTitle) Critical Habitat of the Coastrange Sculpin (Cottus aleuticus) Cultus Population Order
SOR-2019-50	(LongTitle) Banc-des-Américains Marine Protected Area Regulations
SOR-2019-51	(LongTitle) Environmental Emergency Regulations, 2019
SOR-2019-54	(LongTitle) Canada Turkey Marketing Levies Order (2019)
SOR-2019-69	(LongTitle) Order Extending the Application of the Freezing Assets of Corrupt Foreign Officials (Ukraine) Regulations
SOR-2019-78	(LongTitle) Excise Duties on Cannabis Regulations
SOR-2019-81	(LongTitle) Regulations Respecting Fees for the Review of Arrangements Involving Transportation Undertakings Providing Air Services
SOR-2019-82	(LongTitle) Order Extending the Application of Section 14 of that Act for a Period of Five Years
SOR-2019-97	(LongTitle) Corded Window Coverings Regulations
SOR-2020-101	(LongTitle) Certain Goods Remission Order (COVID-19)
SOR-2020-105	(LongTitle) Canada Emergency Student Benefit Regulations
SOR-2020-113	(LongTitle) Solvency Special Payments Relief Regulations, 2020
SOR-2020-125	(LongTitle) Accessible Transportation for Persons with Disabilities Regulations Application Exemption Order
SOR-2020-129	(LongTitle) African Union Privileges and Immunities Order
SOR-2020-130	(LongTitle) Work Place Harassment and Violence Prevention Regulations
SOR-2020-142	(LongTitle) Income Support Payment (Number of Weeks) Regulations
SOR-2020-143	(LongTitle) Vaping Products Promotion Regulations
SOR-2020-145	(LongTitle) Standards for Work-Integrated Learning Activities Regulations
SOR-2020-155	(LongTitle) CUSMA Rules of Origin Regulations
SOR-2020-156	(LongTitle) CUSMA Rules of Origin for Casual Goods Regulations
SOR-2020-157	(LongTitle) CUSMA Tariff Preference Regulations
SOR-2020-178	(LongTitle) Locomotive Voice and Video Recorder Regulations
SOR-2020-185	(LongTitle) Critical Habitat of the Northern Wolffish (Anarhichas denticulatus) Order
SOR-2020-186	(LongTitle) Critical Habitat of the Spotted Wolffish (Anarhichas minor) Order
SOR-2020-199	(LongTitle) United States Surtax Order (Aluminum 2020)
SOR-2020-213	(LongTitle) Establishment Licence Fees Remission Order (Indication of an Activity in respect of a COVID-19 Drug)
SOR-2020-214	(LongTitle) Special Economic Measures (Belarus) Regulations
SOR-2020-215	(LongTitle) Special Economic Measures (Belarus) Permit Authorization Order
SOR-2020-216	(LongTitle) Navigation Safety Regulations, 2020
SOR-2020-222	(LongTitle) Passenger Rail Transportation Security Regulations
SOR-2020-231	(LongTitle) Reduction in the Release of Volatile Organic Compounds Regulations (Petroleum Sector)
SOR-2020-233	(LongTitle) Order Declaring that the Provisions of the Regulations Respecting Reduction in the Release of Methane and Certain Volatile Organic Compounds (Upstream Oil and Gas Sector) Do Not Apply in Alberta
SOR-2020-234	(LongTitle) Order Declaring that the Provisions of the Regulations Respecting Reduction in the Release of Methane and Certain Volatile Organic Compounds (Upstream Oil and Gas Sector) Do Not Apply in Saskatchewan
SOR-2020-249	(LongTitle) Notice of Relocation Regulations
SOR-2020-250	(LongTitle) Provincial Child Support Service Regulations
SOR-2020-258	(LongTitle) Off-road Compression-Ignition (Mobile and Stationary) and Large Spark-Ignition Engine Emission Regulations
SOR-2020-259	(LongTitle) British Columbia Vegetable Order
SOR-2020-25	(LongTitle) Critical Habitat of the Paxton Lake Benthic Threespine Stickleback (Gasterosteus aculeatus) Order
SOR-2020-260	(LongTitle) Administrative Monetary Penalties (Canada Labour Code) Regulations
SOR-2020-264	(LongTitle) Time Limits in Respect of Matters Before the Copyright Board Regulations
SOR-2020-266	(LongTitle) Denial of Licences for Family Orders and Agreements Enforcement Regulations, 2021
SOR-2020-26	(LongTitle) Critical Habitat of the Paxton Lake Limnetic Threespine Stickleback (Gasterosteus aculeatus) Order
SOR-2020-27	(LongTitle) Critical Habitat of the Vananda Creek Benthic Threespine Stickleback (Gasterosteus aculeatus) Order
SOR-2020-282	(LongTitle) Canadian Pork Promotion-Research Agency Proclamation
SOR-2020-283	(LongTitle) Direction Respecting Flight Cancellations for Situations Outside of a Carrier’s Control
SOR-2020-286	(LongTitle) Canada – European Union Tariff Withdrawal Order (United Kingdom)
SOR-2020-28	(LongTitle) Critical Habitat of the Vananda Creek Limnetic Threespine Stickleback (Gasterosteus aculeatus) Order
SOR-2020-290	(LongTitle) United Kingdom Trade Continuity Remission Order, 2021
SOR-2020-29	(LongTitle) Critical Habitat of the Vancouver Lamprey (Entosphenus macrostomus) Order
SOR-2020-49	(LongTitle) International and Interprovincial Power Line Damage Prevention Regulations – Obligations of Holders of Permits and Certificates
SOR-2020-54	(LongTitle) Regulations Maintaining the Safety of Persons in Ports and the Seaway
SOR-2020-60	(LongTitle) Order Declaring that the Provisions of the Regulations Respecting Reduction in the Release of Methane and Certain Volatile Organic Compounds (Upstream Oil and Gas Sector) Do Not Apply in British Columbia
SOR-2020-62	(LongTitle) Income Support Payment Amount Regulations
SOR-2020-72	(LongTitle) Export Charges for Certain Dairy Products Regulations
SOR-2020-77	(LongTitle) Direction to the Canadian Radio-television and Telecommunications Commission Respecting the Implementation of the Canada–United States–Mexico Agreement
SOR-2020-84	(LongTitle) First Nations Election Cancellation and Postponement Regulations (Prevention of Diseases)
SOR-2020-90	(LongTitle) Income Support Payment (Excluded Nominal Income) Regulations
SOR-2020-97	(LongTitle) Order Declaring an Amnesty Period (2020)
SOR-2020-9	(LongTitle) Cannabis for Medical Purposes Remission Order
SOR-2021-120	(LongTitle) Ballast Water Regulations
SOR-2021-123	(LongTitle) Nicotine Concentration in Vaping Products Regulations
SOR-2021-128	(LongTitle) Regulations Defining “official development assistance”
SOR-2021-129	(LongTitle) College of Patent Agents and Trademark Agents Regulations
SOR-2021-12	(LongTitle) Critical Habitat of the Fernald’s Braya (Braya fernaldii) Order
SOR-2021-135	(LongTitle) Vessel Safety Certificates Regulations
SOR-2021-137	(LongTitle) Canadian Human Rights Tribunal Rules of Procedure, 2021
SOR-2021-144	(LongTitle) CCFTA Rules of Origin Regulations
SOR-2021-148	(LongTitle) Formaldehyde Emissions from Composite Wood Products Regulations
SOR-2021-160	(LongTitle) Canadian Radio-television and Telecommunications Commission Accessibility Reporting Regulations
SOR-2021-161	(LongTitle) Pay Equity Regulations
SOR-2021-165	(LongTitle) Code of Professional Conduct for Patent Agents and Trademark Agents Regulations
SOR-2021-166	(LongTitle) Order Fixing the Number of Directors Under the College of Patent Agents and Trademark Agents Act
SOR-2021-167	(LongTitle) By-laws of the College of Patent Agents and Trademark Agents (College)
SOR-2021-168	(LongTitle) By-laws of the College of Patent Agents and Trademark Agents (Board)
SOR-2021-170	(LongTitle) Minor Works Order
SOR-2021-174	(LongTitle) Privacy Act Extension Order, No. 3
SOR-2021-181	(LongTitle) Financial Consumer Protection Framework Regulations
SOR-2021-182	(LongTitle) Canadian Payments Association By-law No. 9 — Lynx
SOR-2021-200	(LongTitle) Exemptions from and Modifications to Hours of Work Provisions Regulations
SOR-2021-217	(LongTitle) Canadian Pork Promotion-Research Levies Order
SOR-2021-22	(LongTitle) Federal Elections Fees Tariff
SOR-2021-231	(LongTitle) Emergency Order for the Protection of the Western Chorus Frog Great Lakes / St. Lawrence — Canadian Shield Population (Longueuil)
SOR-2021-234	(LongTitle) Pardon Services Fees Order
SOR-2021-241	(LongTitle) Accessible Canada Regulations
SOR-2021-243	(LongTitle) Accessible Transportation Planning and Reporting Regulations
SOR-2021-247	(LongTitle) Canada–Newfoundland and Labrador Offshore Area Occupational Health and Safety Regulations
SOR-2021-248	(LongTitle) Canada–Nova Scotia Offshore Area Occupational Health and Safety Regulations
SOR-2021-25	(LongTitle) Cross-border Movement of Hazardous Waste and Hazardous Recyclable Material Regulations
SOR-2021-268	(LongTitle) Volatile Organic Compound Concentration Limits for Certain Products Regulations
SOR-2021-26	(LongTitle) Order Extending the Application of the Freezing Assets of Corrupt Foreign Officials (Tunisia) Regulations
SOR-2021-275	(LongTitle) Lockdown Regions Designation Order (COVID-19)
SOR-2021-278	(LongTitle) Marketing Authorization for Vitamin D in Milk, Goat’s Milk and Margarine
SOR-2021-31	(LongTitle) ) Saskatchewan-Nelson Rivers Populations Order
SOR-2021-32	(LongTitle) ) Athabasca River Populations Order
SOR-2021-35	(LongTitle) Canada Recovery Benefits Regulations
SOR-2021-49	(LongTitle) Special Economic Measures (People’s Republic of China) Regulations
SOR-2021-50	(LongTitle) Special Economic Measures (People’s Republic of China) Permit Authorization Order
SOR-2021-55	(LongTitle) Disability Tax Credit Promoters Restrictions Regulations
SOR-2021-59	(LongTitle) Marine Safety Fees Regulations
SOR-2021-5	(LongTitle) Calculation of Contribution Rates Regulations, 2021
SOR-2021-62	(LongTitle) Wreck Removal Convention Certificate Fee Regulations
SOR-2021-66	(LongTitle) CUKTCA Rules of Origin for Casual Goods Regulations
SOR-2021-67	(LongTitle) CUKTCA Rules of Origin Regulations
SOR-2021-68	(LongTitle) CUKTCA Tariff Preference Regulations
SOR-2021-6	(LongTitle) Additional Canada Pension Plan Sustainability Regulations
SOR-2021-95	(LongTitle) Critical Habitat of the Copper Redhorse (Moxostoma hubbsi) Order
SOR-2022-105	(LongTitle) Migratory Birds Regulations, 2022
SOR-2022-110	(LongTitle) Federal Halocarbon Regulations, 2022
SOR-2022-111	(LongTitle) Canadian Greenhouse Gas Offset Credit System Regulations
SOR-2022-127	(LongTitle) Ukraine Goods Remission Order
SOR-2022-128	(LongTitle) Code of Professional Conduct for College of Immigration and Citizenship Consultants Licensees
SOR-2022-138	(LongTitle) Single-use Plastics Prohibition Regulations
SOR-2022-140	(LongTitle) Clean Fuel Regulations
SOR-2022-158	(LongTitle) Order Bringing Individual Agreements with First Nations into Effect
SOR-2022-18	(LongTitle) Clinical Trials for Medical Devices and Drugs Relating to COVID-19 Regulations
SOR-2022-19116	(LongTitle) Underused Housing Tax Regulations
SOR-2022-209	(LongTitle) Most-Favoured-Nation Tariff Withdrawal Order (2022-2)
SOR-2022-20	(LongTitle) Proclamation Declaring a Public Order Emergency
SOR-2022-215	(LongTitle) Critical Habitat of the Lilliput (Toxolasma parvum) Order
SOR-2022-216	(LongTitle) Critical Habitat of the Fawnsfoot (Truncilla donaciformis) Order
SOR-2022-217	(LongTitle) Critical Habitat of the Threehorn Wartyback (Obliquaria reflexa) Order
SOR-2022-21	(LongTitle) Emergency Measures Regulations
SOR-2022-226	(LongTitle) Special Economic Measures (Haiti) Regulations
SOR-2022-227	(LongTitle) Special Economic Measures (Haiti) Permit Authorization Order
SOR-2022-22	(LongTitle) Emergency Economic Measures Order
SOR-2022-235	(LongTitle) Critical Habitat of the Black Redhorse (Moxostoma duquesnei) Order
SOR-2022-236	(LongTitle) Critical Habitat of the Pugnose Minnow (Opsopoeodus emiliae) Order
SOR-2022-237	(LongTitle) Regulations Implementing the United Nations Resolutions on Haiti
SOR-2022-250	(LongTitle) Prohibition on the Purchase of Residential Property by Non-Canadians Regulations
SOR-2022-255	(LongTitle) Social Security Tribunal Regulations, 2022
SOR-2022-256	(LongTitle) Social Security Tribunal Rules of Procedure
SOR-2022-26	(LongTitle) Proclamation Revoking the Declaration of a Public Order Emergency
SOR-2022-274	(LongTitle) Order Prohibiting Certain Activities in Arctic Offshore Waters, 2022
SOR-2022-277	(LongTitle) Immigration Appeal Division Rules, 2022
SOR-2022-279	(LongTitle) Order Respecting the Restraint of Property Situated in Canada (Roman Arkadyevich Abramovich)
SOR-2022-2	(LongTitle) Critical Habitat of the Striped Bass (Morone saxatilis) St. Lawrence River Population Order
SOR-2022-35	(LongTitle) Most-Favoured-Nation Tariff Withdrawal Order (2022-1)
SOR-2022-43	(LongTitle) Royal Canadian Mounted Police (Dependants) Pension Fund Increase in Benefits Order
SOR-2022-4	(LongTitle) Critical Habitat of the Gattinger’s Agalinis (Agalinis gattingeri) Order
SOR-2022-55	(LongTitle) Canada Deposit Insurance Corporation Eligible Financial Contracts By-law
SOR-2022-79	(LongTitle) Canada Post Corporation Pension Plan Funding Regulations
SOR-2022-82	(LongTitle) Joint Notice Extending the Prohibition Period for Certain Activities on Georges Bank
SOR-2022-88	(LongTitle) Proclamation Declaring that the Government Corporations Operation Act Ceases to Apply to Trans Mountain Corporation
SOR-2022-97	(LongTitle) ) Order
SOR-2022-9	(LongTitle) Rules of Procedure for Hearings Before the Military Police Complaints Commission, 2022
SOR-2023-101	(LongTitle) Carriages and Strollers Regulations
SOR-2023-109	(LongTitle) Special Economic Measures (Moldova) Regulations
SOR-2023-110	(LongTitle) Special Economic Measures (Moldova) Permit Authorization Order
SOR-2023-120	(LongTitle) Order Respecting the Seizure of Property Situated in Canada (Volga-Dnepr Airlines or Volga-Dnepr Group)
SOR-2023-123	(LongTitle) Vaping Products Reporting Regulations
SOR-2023-125	(LongTitle) Release of Information for Family Orders and Agreements Enforcement Assistance Regulations
SOR-2023-128	(LongTitle) Order Bringing Individual Agreements with First Nations into Effect
SOR-2023-135	(LongTitle) Squamish Nation Residential Tenancy Regulations
SOR-2023-138	(LongTitle) Administrative Monetary Penalties (Canada Marine Act) Regulations
SOR-2023-153	(LongTitle) CHFTA Verification of Origin Regulations
SOR-2023-154	(LongTitle) Administrative Monetary Penalties (Motor Vehicle Safety) Regulations
SOR-2023-15	(LongTitle) Prohibition of the Manufacture and Importation of Wheel Weights Containing Lead Regulations
SOR-2023-160	(LongTitle) Certain Russian Goods Remission Order
SOR-2023-183	(LongTitle) NATO Climate Change and Security Centre of Excellence Rights, Privileges and Immunities Order
SOR-2023-195	(LongTitle) Financial Transactions and Reports Analysis Centre of Canada Assessment of Expenses Regulations
SOR-2023-197	(LongTitle) Investments in Permitted Infrastructure Entities Regulations
SOR-2023-198	(LongTitle) Canada-CARICOM Summit 2023 Privileges and Immunities Order
SOR-2023-203	(LongTitle) Online Undertakings Registration Regulations
SOR-2023-207	(LongTitle) General Preferential Tariff Withdrawal and Extension (2023 GPT Review) Order
SOR-2023-208	(LongTitle) Least Developed Country Tariff Withdrawal (2023 LDCT Review) Order
SOR-2023-210	(LongTitle) General Preferential Tariff, General Preferential Tariff Plus and Least Developed Country Tariff Rules of Origin Regulations
SOR-2023-212	(LongTitle) Direct Shipment (Most-Favoured-Nation Tariff, General Preferential Tariff, General Preferential Tariff Plus, Least Developed Country Tariff, Commonwealth Caribbean Countries Tariff, Australia Tariff and New Zealand Tariff) Regulations
SOR-2023-213	(LongTitle) Order Exempting Certain Navigable Waters Located in Quebec from the Application of Section 23 of the Canadian Navigable Waters Act
SOR-2023-221	(LongTitle) Critical Habitat of the Atlantic Mud-piddock (Barnea truncata) Order
SOR-2023-229	(LongTitle) Retail Payment Activities Regulations
SOR-2023-239	(LongTitle) Order Issuing Directions to the CRTC (Sustainable and Equitable Broadcasting Regulatory Framework)
SOR-2023-23	(LongTitle) Order Issuing a Direction to the CRTC on a Renewed Approach to Telecommunications Policy
SOR-2023-24	(LongTitle) Copyright Board Rules of Practice and Procedure
SOR-2023-257	(LongTitle) Vessel Construction and Equipment Regulations
SOR-2023-269	(LongTitle) Federal Prompt Payment for Construction Work Regulations (Criteria, Time Limits, Interest and Circumstances)
SOR-2023-270	(LongTitle) Order Designating Provinces Under Subsection 6(1) of the Federal Prompt Payment for Construction Work Act
SOR-2023-271	(LongTitle) Federal Prompt Payment for Construction Work Regulations (Dispute Resolution)
SOR-2023-276	(LongTitle) Online News Act Application and Exemption Regulations
SOR-2023-29	(LongTitle) Order Establishing Criteria Related to Certain Offences Listed in the Schedule to the Expungement of Historically Unjust Convictions Act
SOR-2023-2	(LongTitle) Special Economic Measures (Sri Lanka) Regulations
SOR-2023-36	(LongTitle) Medical Device Establishment Licence Fees Remission Order (Expedited Examination of Applications During the COVID-19 Pandemic)
SOR-2023-39	(LongTitle) Critical Habitat of the Silver Shiner (Notropis photogenis) Order
SOR-2023-3	(LongTitle) Special Economic Measures (Sri Lanka) Permit Authorization Order
SOR-2023-42	(LongTitle) Electronic Heated Tobacco Products Remission Order
SOR-2023-43	(LongTitle) Large Diameter Line Pipe Anti-dumping Duty Remission Order, 2023
